Point 1          500105.947     6958348.950   1.000 56 G94 PSM 1    
Point 2          203709.756     6954765.154   2.000 56 G94 PSM 2    
Point 3          319639.255     6807392.539         56 G94 PSM 3    
Point 4          399432.591     6782014.378   4.000 56 G94 PSM 4   
Point 5          383711.160     6783272.264         56 G94           
Point 6          349772.539     6790990.258   6.000 56 G94 PSM 6               
Point 7          399350.679     6831818.578   7.000 56 G94 PSM 7                 
Point 8          368037.623     6833372.849   8.000 56 G94 PSM 8                
Point 9          407629.060     6875309.170   9.000 56 G94 PSM 9                   
Point 10         400947.256     6876231.151         56 G94 PSM 10               
